INCIDENT_ID,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,Month,Year,Date
CR_156146,7,16,15,0,0,9,8,0,5,1,174,0.0,112,119,43,8,2012,20
CR_25741,0,4,4,6,5,4,2,12,6,1,316,1.0,72,29,34,5,1995,30
CR_19406,0,9,10,7,3,5,6,1,6,2,316,2.0,24,142,34,10,1994,2
CR_52821,0,24,24,0,0,5,6,0,5,1,174,1.0,72,0,34,5,1998,22
CR_141663,0,3,2,3,5,4,2,1,6,2,0,2.0,103,29,34,11,2010,30
CR_84643,0,15,14,3,5,6,4,0,5,1,249,0.0,98,0,34,10,2002,16
CR_9998,0,41,41,4,1,4,2,1,2,1,0,1.0,112,142,34,10,1992,13
CR_15173,0,33,32,2,1,7,1,0,5,1,249,1.0,103,29,34,5,1993,9
CR_150569,7,21,23,4,1,9,8,0,5,1,174,0.0,112,80,43,4,2011,20
CR_44321,0,21,23,4,1,2,7,1,6,1,174,0.0,103,62,43,9,1997,26
CR_12480,0,16,15,0,0,7,1,1,2,1,316,1.0,92,142,34,4,1993,26
CR_49884,0,4,4,6,5,4,2,0,5,1,174,1.0,103,29,34,11,1998,18
CR_16536,0,37,37,0,0,4,2,2,2,1,316,1.0,72,142,34,9,1993,17
CR_135867,0,4,4,6,5,4,2,0,5,1,249,1.0,103,14,34,11,2009,14
CR_16960,0,39,39,6,5,3,5,1,6,1,174,1.0,103,62,34,4,1993,3
CR_94521,0,33,32,2,1,6,4,0,5,1,174,0.0,98,29,43,9,2003,6
CR_47185,1,36,34,2,1,15,10,1,5,2,174,1.0,92,93,36,4,1997,7
CR_64477,0,3,2,3,5,3,5,1,6,5,249,5.0,109,29,34,8,2000,10
CR_9255,7,36,34,2,1,9,8,0,5,1,249,1.0,92,93,34,10,1992,9
CR_239,0,6,6,4,1,5,6,5,2,1,0,1.0,88,142,34,8,1991,11
CR_36246,3,22,22,7,3,9,8,0,5,1,174,0.0,92,29,48,8,1996,20
CR_167882,1,4,4,6,5,15,10,2,6,3,316,3.0,97,62,34,5,2014,18
CR_122832,0,24,24,0,0,4,2,1,6,1,249,1.0,103,29,34,5,2007,8
CR_107228,0,19,19,1,3,7,1,1,5,1,249,1.0,59,130,34,1,2005,21
CR_191070,0,48,47,4,1,7,1,1,6,1,174,0.0,111,29,0,6,2017,6
CR_111200,0,45,45,10,3,7,1,1,2,1,316,1.0,103,80,34,8,2005,26
CR_138988,0,33,32,2,1,6,4,3,6,1,249,1.0,103,29,34,2,2009,5
CR_76254,7,17,16,0,0,9,8,0,5,1,174,0.0,112,93,48,4,2001,29
CR_49626,0,4,4,6,5,1,0,6,6,3,316,3.0,72,62,34,12,1998,21
CR_136496,0,5,5,3,5,2,7,0,5,1,174,0.0,59,133,23,10,2009,6
CR_74857,1,4,4,6,5,15,10,0,5,1,174,1.0,103,80,34,1,2001,7
CR_25788,0,4,4,6,5,1,0,1,6,1,174,1.0,98,107,34,8,1995,15
CR_96972,1,51,50,7,3,11,17,1,6,1,249,0.0,103,29,34,7,2003,5
CR_128167,0,4,4,6,5,3,5,1,6,1,0,1.0,72,29,34,3,2008,1
CR_125194,0,37,37,0,0,6,4,0,5,1,174,0.0,92,29,23,4,2007,26
CR_196935,0,37,37,0,0,2,7,1,2,2,0,2.0,103,142,34,8,2018,13
CR_99124,1,9,10,7,3,11,17,1,6,1,0,1.0,72,142,34,1,2004,22
CR_47713,0,40,40,2,1,5,6,1,5,1,174,1.0,98,29,34,2,1997,28
CR_17468,0,42,42,7,3,7,1,1,6,1,316,1.0,109,62,34,9,1993,22
CR_52768,0,24,24,0,0,8,3,1,2,1,316,1.0,12,29,34,10,1998,2
CR_174153,1,18,18,9,0,16,12,1,6,1,299,1.0,103,103,34,4,2015,9
CR_181473,0,26,27,9,0,6,4,0,5,1,174,1.0,103,87,34,1,2016,26
CR_170055,0,33,32,2,1,7,1,1,2,1,249,1.0,48,29,34,6,2014,12
CR_70646,0,37,37,0,0,3,5,1,2,1,249,1.0,103,142,34,7,2000,12
CR_139733,0,36,34,2,1,1,0,1,2,1,174,1.0,92,62,36,4,2009,2
CR_68496,0,24,24,0,0,6,4,0,5,1,174,1.0,98,29,34,3,2000,4
CR_133719,1,42,42,7,3,15,10,1,6,1,174,1.0,72,29,34,7,2008,11
CR_149802,0,7,8,7,3,2,7,2,5,1,316,1.0,72,62,34,6,2011,4
CR_129628,0,18,18,9,0,7,1,1,2,1,0,1.0,103,142,34,5,2008,19
CR_21702,0,35,30,3,5,4,2,3,2,1,0,1.0,12,107,34,11,1994,6
CR_184395,0,50,51,0,0,8,3,1,6,6,43,5.0,103,29,34,10,2016,20
CR_112847,0,4,4,6,5,3,5,0,5,1,174,1.0,103,107,34,4,2006,27
CR_22950,0,39,39,6,5,7,1,1,6,1,249,1.0,98,29,34,8,1994,15
CR_4640,0,3,2,3,5,2,7,3,6,1,249,1.0,98,93,34,5,1992,7
CR_91832,0,9,10,7,3,7,1,3,6,2,174,2.0,103,93,34,3,2003,12
CR_69086,0,28,28,3,5,5,6,1,6,2,179,1.0,72,0,34,8,2000,17
CR_90314,0,4,4,6,5,1,0,1,6,1,0,1.0,98,62,34,2,2003,16
CR_102226,0,34,33,3,5,3,5,4,6,2,60,1.0,72,29,40,12,2004,31
CR_44421,0,21,23,4,1,8,3,1,6,1,316,1.0,72,29,34,10,1997,19
CR_91539,0,6,6,4,1,5,6,3,6,2,179,1.0,98,93,34,5,2003,10
CR_125712,0,40,40,2,1,1,0,0,5,1,174,1.0,103,93,34,11,2007,1
CR_39129,1,36,34,2,1,15,10,0,5,1,174,0.0,92,93,43,4,1996,29
CR_166473,0,49,49,6,5,4,2,1,6,1,316,1.0,109,62,34,5,2013,23
CR_146268,0,36,34,2,1,1,0,0,5,2,174,0.0,92,93,43,1,2010,2
CR_198777,1,51,50,7,3,12,16,1,6,1,174,1.0,98,142,34,8,2018,4
CR_19913,0,16,15,0,0,1,0,1,2,1,316,1.0,109,6,34,10,1994,18
CR_95693,5,40,40,2,1,12,16,1,5,1,174,0.0,24,93,46,2,2003,19
CR_58748,0,5,5,3,5,7,1,1,6,1,0,1.0,103,29,34,8,1999,3
CR_120175,0,4,4,6,5,1,0,3,6,1,174,1.0,72,29,34,9,2007,7
CR_47383,7,37,37,0,0,9,8,0,5,1,249,1.0,112,130,34,9,1997,29
CR_88778,0,45,45,10,3,2,7,2,6,2,200,0.0,72,6,34,7,2002,28
CR_45122,0,24,24,0,0,6,4,1,6,1,0,1.0,72,142,34,6,1997,19
CR_118555,1,44,44,1,3,15,10,1,6,1,249,1.0,67,142,34,8,2006,1
CR_47590,0,39,39,6,5,7,1,3,6,1,249,1.0,67,29,34,3,1997,31
CR_56241,0,47,48,7,3,6,4,1,5,1,174,0.0,103,93,0,2,1998,5
CR_49686,0,4,4,6,5,1,0,1,2,1,249,1.0,109,142,34,4,1998,13
CR_158363,0,33,32,2,1,5,6,0,5,1,249,1.0,103,93,34,4,2012,20
CR_49055,0,3,2,3,5,3,5,0,5,1,174,1.0,103,29,34,10,1998,6
CR_78381,5,33,32,2,1,16,12,0,5,1,174,0.0,112,29,43,4,2001,23
CR_46364,0,33,32,2,1,7,1,1,6,1,316,1.0,112,6,34,2,1997,3
CR_89127,0,47,48,7,3,7,1,0,5,1,174,0.0,103,25,34,12,2002,22
CR_95911,0,44,44,1,3,2,7,0,5,1,174,0.0,98,87,34,3,2003,31
CR_30684,0,37,37,0,0,2,7,1,6,1,316,1.0,72,29,34,9,1995,14
CR_110272,1,36,34,2,1,15,10,0,5,1,174,1.0,92,130,36,2,2005,18
CR_152101,0,33,32,2,1,6,4,0,5,1,174,0.0,48,93,0,11,2011,15
CR_101301,0,29,29,9,0,6,4,0,5,1,325,0.0,112,142,34,9,2004,27
CR_10824,0,49,49,6,5,6,4,1,6,1,249,1.0,98,29,34,4,1992,10
CR_81174,0,45,45,10,3,2,7,0,5,3,102,0.0,18,87,38,9,2001,17
CR_77056,1,22,22,7,3,15,10,0,5,1,174,1.0,72,29,34,7,2001,25
CR_104657,0,2,3,10,3,8,3,1,5,1,328,0.0,103,142,34,7,2005,11
CR_190935,1,47,48,7,3,15,10,0,5,1,174,0.0,42,29,0,3,2017,7
CR_39743,0,39,39,6,5,7,1,0,5,1,174,1.0,98,80,34,10,1996,31
CR_97082,0,2,3,10,3,9,8,1,6,1,249,0.0,54,142,34,10,2004,21
CR_165452,0,37,37,0,0,4,2,1,2,1,316,1.0,103,107,34,7,2013,9
CR_27138,0,19,19,1,3,7,1,2,2,1,316,1.0,92,142,34,2,1995,17
CR_44846,0,24,24,0,0,5,6,1,6,1,310,1.0,103,138,34,4,1997,20
CR_66139,0,4,4,6,5,5,6,2,6,1,0,1.0,72,29,34,10,2000,17
CR_5245,0,9,10,7,3,3,5,1,6,1,249,1.0,72,29,34,8,1992,26
CR_58451,0,4,4,6,5,2,7,0,5,1,174,0.0,59,107,23,6,1999,11
CR_44466,1,22,22,7,3,15,10,1,2,1,316,1.0,109,142,34,9,1997,7
CR_95959,0,44,44,1,3,4,2,1,6,1,316,0.0,103,0,34,9,2003,3
CR_40668,1,49,49,6,5,15,10,0,5,1,249,1.0,103,29,34,7,1996,26
CR_106009,0,4,4,6,5,2,7,0,5,1,249,1.0,98,130,34,5,2005,26
CR_162976,0,21,23,4,1,5,6,1,6,2,249,2.0,103,80,34,4,2013,27
CR_39335,0,37,37,0,0,5,6,1,6,3,174,3.0,72,29,34,1,1996,9
CR_130604,0,24,24,0,0,4,2,1,6,1,249,1.0,112,29,34,5,2008,21
CR_41350,1,4,4,6,5,15,10,0,5,1,174,1.0,103,29,34,3,1997,26
CR_90100,1,4,4,6,5,15,10,1,6,1,249,1.0,116,29,34,2,2003,20
CR_17889,0,45,45,10,3,1,0,0,5,1,174,0.0,103,93,43,2,1993,11
CR_79035,0,35,30,3,5,1,0,2,6,1,316,1.0,103,29,34,2,2001,2
CR_43740,0,16,15,0,0,1,0,1,6,1,316,1.0,12,29,34,7,1997,18
CR_125043,0,36,34,2,1,1,0,0,5,1,249,1.0,92,93,34,11,2007,27
CR_114036,0,9,10,7,3,5,6,2,3,1,249,1.0,103,93,34,4,2006,29
CR_18004,1,47,48,7,3,15,10,0,5,1,249,1.0,103,93,34,5,1993,22
CR_40538,0,47,48,7,3,4,2,1,6,1,249,1.0,103,119,34,1,1996,16
CR_30715,0,37,37,0,0,2,7,2,6,1,249,1.0,72,107,34,5,1995,21
CR_53954,0,33,32,2,1,7,1,1,6,1,249,1.0,92,93,34,8,1998,11
CR_134044,0,44,44,1,3,2,7,0,5,1,174,0.0,112,53,46,7,2008,4
CR_63130,5,40,40,2,1,11,17,5,6,1,249,1.0,92,29,34,10,1999,22
CR_195514,0,33,32,2,1,7,1,0,5,1,249,1.0,92,93,34,11,2018,9
CR_28019,0,24,24,0,0,5,6,2,2,1,316,1.0,112,142,34,11,1995,20
CR_31473,0,45,45,10,3,6,4,0,6,1,174,0.0,98,29,43,3,1995,24
CR_114806,0,21,23,4,1,2,7,1,6,1,174,1.0,103,62,34,5,2006,3
CR_156949,0,24,24,0,0,7,1,1,6,1,0,1.0,103,115,34,9,2012,19
CR_135875,0,4,4,6,5,5,6,2,6,1,316,1.0,42,14,34,5,2009,18
CR_96923,0,49,49,6,5,2,7,0,5,1,174,0.0,24,29,0,10,2003,10
CR_46274,0,33,32,2,1,8,3,2,6,1,0,1.0,92,80,34,9,1997,29
CR_136824,0,9,10,7,3,4,2,1,6,1,249,1.0,59,107,34,11,2009,10
CR_102548,0,36,34,2,1,1,0,0,5,1,174,0.0,103,93,43,3,2004,23
CR_61295,0,26,27,9,0,3,5,1,5,1,249,1.0,84,62,34,2,1999,18
CR_54333,1,36,34,2,1,15,10,0,5,1,174,0.0,92,93,48,9,1998,15
CR_181366,0,25,25,9,0,3,5,1,2,2,290,2.0,103,142,34,9,2016,2
CR_478,0,16,15,0,0,1,0,40,6,1,0,1.0,72,6,34,8,1991,30
CR_22255,0,36,34,2,1,1,0,1,5,1,174,1.0,92,130,34,10,1994,28
CR_8080,0,33,32,2,1,5,6,1,6,1,249,1.0,92,6,34,6,1992,7
CR_65094,0,4,4,6,5,1,0,0,5,1,249,1.0,112,119,34,6,2000,9
CR_5348,0,9,10,7,3,4,2,1,6,2,0,2.0,92,29,34,3,1992,8
CR_158706,0,36,34,2,1,1,0,0,5,1,174,1.0,18,53,38,3,2012,22
CR_132171,0,33,32,2,1,7,1,0,5,1,174,0.0,92,62,43,4,2008,20
CR_52132,0,21,23,4,1,2,7,1,2,2,249,2.0,72,62,34,11,1998,20
CR_79181,1,36,34,2,1,15,10,0,5,1,174,0.0,92,142,48,6,2001,13
CR_180362,0,19,19,1,3,7,1,1,6,1,127,1.0,103,142,34,2,2016,20
CR_97701,0,4,4,6,5,1,0,1,2,1,316,1.0,72,103,34,9,2004,2
CR_49066,0,3,2,3,5,8,3,3,0,3,249,3.0,34,0,34,3,1998,27
CR_136125,0,4,4,6,5,2,7,1,6,4,43,3.0,84,130,34,11,2009,20
CR_27624,1,22,22,7,3,15,10,1,6,2,0,2.0,72,29,34,9,1995,6
CR_163466,0,24,24,0,0,7,1,1,6,2,249,2.0,103,29,34,1,2013,16
CR_139394,0,36,34,2,1,6,4,1,6,1,174,1.0,92,29,9,12,2009,19
CR_153806,0,45,45,10,3,1,0,4,5,1,0,1.0,72,62,34,4,2011,17
CR_19155,0,5,5,3,5,5,6,5,6,1,249,1.0,72,142,34,7,1994,25
CR_80399,0,39,39,6,5,8,3,1,6,1,0,1.0,112,29,34,3,2001,6
CR_159100,1,36,34,2,1,15,10,0,5,1,316,1.0,92,93,34,11,2012,20
CR_120631,0,4,4,6,5,7,1,0,5,4,179,2.0,103,93,34,12,2007,1
CR_3246,1,36,34,2,1,18,13,0,5,1,249,1.0,92,130,34,4,1991,21
CR_50256,0,4,4,6,5,1,0,0,5,1,249,1.0,92,103,34,12,1998,16
CR_131299,0,29,29,9,0,3,5,0,5,1,174,0.0,103,29,43,5,2008,22
CR_128051,1,4,4,6,5,11,17,3,6,1,0,1.0,72,29,34,6,2008,22
CR_152957,0,37,37,0,0,7,1,0,5,1,174,1.0,72,119,34,7,2011,24
CR_137814,1,22,22,7,3,15,10,0,5,1,174,0.0,72,29,23,11,2009,17
CR_67954,0,21,23,4,1,2,7,1,6,1,249,1.0,24,62,34,5,2000,20
CR_50322,0,4,4,6,5,2,7,4,6,1,316,1.0,72,62,34,1,1998,1
CR_23362,0,40,40,2,1,3,5,1,2,4,263,2.0,103,142,34,10,1994,24
CR_186381,7,11,11,7,3,9,8,1,6,1,249,1.0,103,29,34,9,2017,12
CR_187161,0,21,23,4,1,5,6,1,6,1,316,1.0,103,52,34,7,2017,7
CR_2108,0,33,32,2,1,5,6,1,6,2,249,2.0,103,29,34,5,1991,19
CR_83500,0,4,4,6,5,4,2,2,6,2,0,2.0,72,107,34,5,2002,27
CR_80221,1,39,39,6,5,15,10,2,6,1,316,1.0,112,29,34,5,2001,16
CR_170586,0,36,34,2,1,1,0,1,6,1,316,1.0,92,87,34,4,2014,6
CR_35301,0,16,15,0,0,4,2,1,6,1,316,1.0,72,130,34,9,1996,22
CR_56767,0,3,2,3,5,3,5,0,5,1,174,1.0,103,29,34,1,1999,4
CR_171642,0,44,44,1,3,8,3,1,6,1,299,1.0,103,130,34,6,2014,7
CR_84749,0,16,15,0,0,4,2,1,6,1,316,1.0,103,29,34,7,2002,11
CR_161306,0,4,4,6,5,6,4,1,5,1,249,1.0,92,107,34,9,2013,20
CR_40438,7,46,46,3,5,9,8,1,6,1,249,1.0,59,14,34,4,1996,7
CR_184623,0,3,2,3,5,1,0,0,5,4,192,2.0,103,93,34,3,2017,22
CR_95950,0,44,44,1,3,7,1,1,2,28,55,0.0,112,142,34,9,2003,17
CR_101457,0,32,31,4,1,7,1,1,6,1,323,0.0,34,62,34,5,2004,7
CR_35864,0,21,23,4,1,2,7,0,5,1,249,1.0,103,29,34,5,1996,1
CR_100687,0,24,24,0,0,5,6,0,5,1,249,0.0,103,62,34,1,2004,29
CR_2884,0,36,34,2,1,1,0,2,6,1,249,1.0,92,133,34,10,1991,18
CR_76955,0,21,23,4,1,2,7,0,5,1,249,1.0,48,62,34,10,2001,2
CR_98414,0,4,4,6,5,2,7,1,2,1,249,1.0,103,62,34,5,2004,18
CR_118497,0,44,44,1,3,7,1,0,5,1,127,1.0,103,53,34,12,2006,8
CR_63131,5,40,40,2,1,11,17,2,3,2,263,2.0,92,29,34,3,1999,2
CR_180403,5,19,19,1,3,14,14,1,6,1,249,1.0,59,119,34,7,2016,18
CR_56147,1,47,48,7,3,16,12,1,5,1,174,0.0,112,93,23,3,1998,11
CR_57569,0,4,4,6,5,1,0,3,2,2,316,2.0,112,119,34,5,1999,28
CR_65960,0,4,4,6,5,5,6,3,6,1,316,1.0,72,29,34,10,2000,8
CR_18205,0,49,49,6,5,7,1,1,6,2,249,2.0,34,142,34,5,1993,3
CR_150635,0,21,23,4,1,2,7,1,2,1,316,1.0,18,80,34,4,2011,17
CR_36543,0,24,24,0,0,8,3,3,6,1,316,1.0,103,107,34,11,1996,15
CR_10878,0,49,49,6,5,5,6,2,6,2,316,2.0,103,80,34,7,1992,3
CR_11360,0,4,4,6,5,2,7,1,6,1,249,1.0,42,103,34,2,1993,16
CR_106520,0,7,8,7,3,2,7,2,2,3,263,3.0,72,62,34,3,2005,10
CR_162196,7,6,6,4,1,9,8,0,5,1,174,0.0,110,93,23,9,2013,17
CR_91451,7,5,5,3,5,9,8,2,6,2,316,0.0,112,80,34,10,2003,9
CR_134343,1,47,48,7,3,16,12,1,5,1,174,1.0,103,130,34,12,2008,29
CR_131575,0,33,32,2,1,6,4,0,5,1,174,0.0,48,29,0,2,2008,17
CR_32260,0,3,2,3,5,1,0,1,6,2,174,2.0,103,29,34,1,1996,1
CR_36265,1,22,22,7,3,15,10,3,6,1,316,1.0,72,29,34,5,1996,20
CR_64764,0,4,4,6,5,3,5,3,6,1,249,1.0,98,62,34,8,2000,24
CR_16772,0,38,38,10,3,3,5,0,5,1,174,0.0,72,29,43,1,1993,19
CR_137369,0,19,19,1,3,8,3,1,6,1,249,1.0,72,29,34,7,2009,5
CR_157853,0,30,35,7,3,4,2,1,6,1,249,1.0,113,29,34,7,2012,5
CR_48196,0,45,45,10,3,6,4,0,5,1,174,1.0,103,29,34,9,1997,11
CR_172072,0,49,49,6,5,4,2,1,6,1,316,1.0,98,103,34,7,2014,12
CR_110650,0,39,39,6,5,2,7,1,6,1,0,1.0,72,29,34,6,2005,13
CR_135741,0,4,4,6,5,1,0,1,6,1,249,1.0,103,93,34,10,2009,22
CR_118830,0,45,45,10,3,1,0,2,6,1,316,1.0,112,29,34,9,2006,15
CR_197890,0,46,46,3,5,6,4,0,5,2,174,1.0,103,103,9,3,2018,12
CR_127112,0,1,0,1,3,5,6,2,6,1,249,1.0,103,133,34,12,2008,30
CR_103153,0,39,39,6,5,2,7,1,2,1,0,1.0,72,62,34,9,2004,26
CR_126305,3,45,45,10,3,9,8,1,6,1,249,1.0,112,93,34,3,2007,8
CR_164868,0,36,34,2,1,1,0,1,2,3,316,3.0,103,93,34,8,2013,29
CR_169319,1,24,24,0,0,16,12,1,6,1,316,1.0,111,80,34,5,2014,28
CR_24336,0,50,51,0,0,6,4,1,6,1,316,1.0,109,29,34,2,1994,19
CR_108491,0,25,25,9,0,5,6,1,5,1,174,0.0,98,29,43,6,2005,24
CR_182421,0,36,34,2,1,1,0,1,5,1,316,1.0,92,93,34,4,2016,20
CR_171098,0,37,37,0,0,3,5,1,2,1,303,1.0,72,62,34,10,2014,8
CR_141601,1,2,3,10,3,16,12,0,5,1,174,0.0,89,115,0,11,2010,5
CR_57375,0,4,4,6,5,1,0,0,5,1,174,1.0,103,119,34,10,1999,24
CR_181581,0,29,29,9,0,3,5,1,1,1,316,1.0,59,29,34,3,2016,19
CR_190531,0,44,44,1,3,8,3,1,6,1,330,0.0,103,29,48,11,2017,12
CR_36060,7,21,23,4,1,9,8,0,5,1,174,0.0,112,29,43,9,1996,30
CR_24617,0,4,4,6,5,4,2,2,1,1,174,1.0,72,130,34,8,1995,12
CR_57414,0,4,4,6,5,1,0,0,5,1,174,0.0,116,80,0,12,1999,28
CR_103779,0,45,45,10,3,4,2,0,5,1,174,0.0,92,124,0,8,2004,15
CR_169274,1,24,24,0,0,15,10,1,6,1,249,1.0,103,80,34,4,2014,10
CR_18842,0,4,4,6,5,2,7,1,2,1,249,1.0,103,14,34,3,1994,31
CR_80988,1,45,45,10,3,15,10,1,6,1,316,1.0,103,29,34,11,2001,21
CR_192638,0,4,4,6,5,1,0,0,5,1,174,,111,62,23,2,2018,26
CR_192720,0,4,4,6,5,2,7,1,1,1,0,1.0,72,80,34,12,2018,6
CR_56860,0,4,4,6,5,3,5,0,5,1,174,1.0,72,62,34,9,1999,20
CR_30084,0,36,34,2,1,1,0,3,6,1,316,1.0,92,29,34,3,1995,31
CR_1027,1,22,22,7,3,15,10,1,2,1,0,1.0,72,142,34,3,1991,17
CR_68209,1,22,22,7,3,15,10,0,5,1,174,0.0,72,29,48,9,2000,9
CR_152909,5,36,34,2,1,18,13,1,6,1,316,1.0,92,62,34,4,2011,6
CR_188237,0,25,25,9,0,4,2,1,6,3,249,3.0,92,29,34,3,2017,13
CR_1305,0,25,25,9,0,3,5,1,6,1,316,1.0,103,14,34,9,1991,29
CR_120906,0,4,4,6,5,2,7,2,2,1,0,1.0,72,80,34,12,2007,3
CR_159219,7,36,34,2,1,9,8,0,5,1,249,1.0,92,103,34,3,2012,6
CR_146952,0,40,40,2,1,9,8,3,6,1,249,1.0,18,29,34,8,2010,15
CR_128604,3,4,4,6,5,9,8,1,2,2,43,1.0,2,14,34,10,2008,24
CR_96594,0,47,48,7,3,4,2,1,6,1,174,0.0,112,29,23,8,2003,18
CR_184785,0,4,4,6,5,4,2,1,6,1,316,1.0,59,107,34,2,2017,28
CR_62664,1,36,34,2,1,15,10,0,5,1,249,1.0,92,29,34,2,1999,14
CR_189600,3,36,34,2,1,9,8,1,5,1,174,,92,119,43,2,2017,23
CR_55388,0,39,39,6,5,6,4,1,6,1,316,1.0,112,103,34,11,1998,13
CR_140003,1,37,37,0,0,16,12,1,6,1,74,1.0,72,107,34,3,2009,11
CR_170506,0,36,34,2,1,1,0,1,5,1,174,0.0,103,93,43,9,2014,22
CR_56219,0,47,48,7,3,6,4,1,6,2,316,2.0,103,29,34,8,1998,24
CR_182232,0,36,34,2,1,1,0,1,2,1,316,1.0,92,62,34,3,2016,6
